"Antionio","0","0","1"
"modamio","1","0","0"
"Jordi","0","1","1"
"Eric","1","0","1"
"JoelLopez","1","0","2"
"Partida1","1","0","1"
"asier","0","0","2"
"Partida2","0","1","1"
"asdadsasdas","0","0","1"
"Ntionasd","1","0","0"
"Asier","1","0","0"
"Joel","1","0","4"
